artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count_x,genres,genre,count,label
"""Cats"" 1981 Original London Cast",0.5750833333333334,0.44275,247260.0,0.3863358333333334,0.0227173966666666,0.2877083333333333,-14.205416666666665,0.180675,115.9835,0.3344333333333333,38.0,5,1,12,['show tunes'],show tunes,136,5
$NOT,0.5469999999999999,0.7501249999999999,152929.5,0.51975,0.0431371375,0.213975,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",hip hop,83,24
$uicideBoy$,0.1281226229508196,0.7652459016393444,147549.44262295082,0.6417049180327874,0.038454471147541,0.2011950819672132,-6.626918032786888,0.155917213114754,119.80436065573772,0.2960959016393442,61.64754098360656,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']",underground hip hop,108,14
'In The Heights' Original Broadway Company,0.6365882352941177,0.541,301908.29411764705,0.4022823529411765,7.74823529411765e-06,0.1938235294117647,-9.405882352941177,0.1500058823529412,114.95252941176471,0.407764705882353,46.58823529411765,7,1,17,"['broadway', 'show tunes']",broadway,82,25
'Legally Blonde' Ensemble,0.6010833333333333,0.6135833333333333,291892.16666666674,0.4115,1.964666666666667e-05,0.2156666666666666,-11.200333333333331,0.4595833333333333,115.58,0.5031666666666667,48.16666666666666,8,1,12,"['broadway', 'hollywood', 'show tunes']",show tunes,136,5
'Legally Blonde' Greek Chorus,0.6044999999999999,0.7735000000000001,361780.0,0.3095,0.0,0.2222,-12.669,0.289,105.7,0.5965,49.0,10,1,2,['show tunes'],show tunes,136,5
'Til Tuesday,0.10555625,0.5571250000000001,255213.5,0.6122499999999998,0.0233002525,0.1275875,-9.638125000000002,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']",new wave,57,56
((( O ))),0.847,0.41,311837.0,0.1689999999999999,0.00327,0.1169999999999999,-11.422,0.0485,89.494,0.208,66.0,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",reggaeton,68,33
(G)I-DLE,0.0299666666666666,0.718,194278.0,0.7643333333333334,9.4e-07,0.1633333333333333,-3.797333333333333,0.0552,129.99200000000002,0.4496666666666666,74.66666666666667,4,0,3,"['k-pop', 'k-pop girl group']",k-pop,57,58
(Hed) P.E.,0.0116314,0.5892000000000002,253677.4,0.8792,2.026e-06,0.17112,-5.259799999999999,0.17214,134.9694,0.4270000000000001,45.8,2,1,10,"['alternative metal', 'industrial metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",post-grunge,120,9
03 Greedo,0.06932,0.7246,220595.2,0.6938,8e-07,0.1650599999999999,-5.021,0.0507399999999999,93.9078,0.4434,59.2,1,0,5,"['cali rap', 'melodic rap', 'trap', 'underground hip hop', 'vapor trap']",underground hip hop,108,14
10 Years,0.0971232375,0.39925,208469.875,0.7516249999999999,0.00020406875,0.1507375,-5.071874999999999,0.0486125,147.91549999999995,0.318875,47.75,6,1,16,"['alternative metal', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",post-grunge,120,9
"10,000 Maniacs",0.1922949999999999,0.5814545454545456,240081.7272727273,0.5603909090909093,0.0088258404545454,0.253490909090909,-12.977181818181812,0.0411772727272727,118.97309090909096,0.5717727272727272,36.77272727272727,9,1,44,"['dance rock', 'folk', 'lilith', 'new wave pop', 'pop rock']",new wave pop,118,10
112,0.1583938181818182,0.666072727272727,274580.8545454545,0.5204363636363636,0.000143672,0.1432127272727272,-8.024036363636364,0.0976236363636363,116.84376363636366,0.5327999999999999,48.32727272727273,0,1,55,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",pop rap,135,6
11:11,0.174,0.478,252540.0,0.555,1.1e-05,0.103,-7.6,0.111,128.72799999999998,0.139,57.0,5,0,2,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",pop rap,135,6
1788-L,0.0739,0.522,172344.0,0.539,0.0,0.0664,-5.7410000000000005,0.0418,95.97,0.139,46.0,1,0,1,"['brostep', 'edm', 'electro house', 'zapstep']",electro house,64,42
1910 Fruitgum Company,0.4185,0.757,140750.0,0.60525,0.00077785,0.12425,-9.72575,0.044725,128.4975,0.8995,24.75,9,1,8,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'folk rock', 'merseybeat']",folk rock,56,61
2 Chainz,0.1112144897959183,0.7710918367346944,253278.40816326533,0.6424183673469387,0.0006208470408163,0.2035551020408164,-6.024755102040817,0.220565306122449,125.02639795918373,0.4502571428571428,57.94897959183673,1,1,98,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",trap,109,13
2 Pistols,0.00431,0.517,274053.0,0.747,0.0,0.345,-6.191,0.105,134.058,0.271,52.0,10,0,1,"['dirty south rap', 'pop rap', 'southern hip hop', 'trap']",southern hip hop,149,3
20/20,0.000236,0.4579999999999999,257733.0,0.541,0.00183,0.0371,-12.130999999999998,0.0485,133.57299999999998,0.5770000000000001,24.0,2,1,2,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']",southern hip hop,149,3
21 Savage,0.1237767341772152,0.7918860759493672,225374.5569620253,0.551607594936709,0.0150914094936708,0.1788075949367089,-7.41145569620253,0.2842911392405064,124.41951898734176,0.3322164556962025,66.20253164556962,1,1,79,"['atl hip hop', 'rap', 'trap']",trap,109,13
24 Horas,0.206,0.8140000000000001,230267.0,0.68,0.0,0.1009999999999999,-6.928,0.043,126.976,0.963,46.0,7,0,2,"['bachata', 'latin', 'tropical']",tropical,59,53
24hrs,0.0598,0.5405,197806.5,0.74,0.0,0.12435,-5.4345,0.18005,117.9925,0.34,67.5,1,1,4,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",underground hip hop,108,14
2Pac,0.1318515085324231,0.7769078498293513,262092.32081911265,0.7081774744027309,0.007405551774744,0.2241467576791808,-7.006529010238911,0.2234634812286689,107.15816382252572,0.6101433447098976,49.08532423208191,1,1,293,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",rap,164,2
2nd Chapter Of Acts,0.6054999999999999,0.4330000000000001,169067.0,0.3765,0.0,0.1148,-11.488499999999998,0.0277,89.17299999999999,0.4420000000000001,28.5,1,1,4,"['christian music', 'deep christian rock']",christian music,67,35
3 Doors Down,0.0384781745454545,0.503,232900.1090909091,0.7926727272727272,0.0061299514545454,0.1578509090909091,-5.679090909090909,0.037990909090909,128.84419999999997,0.4451818181818182,49.72727272727273,7,1,55,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",pop rock,169,1
311,0.0224135311475409,0.6188688524590163,205666.0,0.8200655737704922,0.0121223834426229,0.1660245901639344,-7.354754098360658,0.0658245901639344,132.57375409836072,0.6162065573770488,40.32786885245904,9,1,122,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'reggae fusion', 'rock']",post-grunge,120,9
38 Special,0.0328747711111111,0.5251555555555554,256027.8,0.6304,0.0257457993333333,0.1251177777777777,-11.429977777777774,0.0326022222222222,125.27055555555556,0.7732666666666664,32.28888888888889,0,1,90,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']",rock,127,8
3LW,0.0558,0.7177999999999999,272055.8,0.7196,2.168e-05,0.15058,-5.9238,0.11084,129.6848,0.6678000000000001,49.2,6,0,5,"['girl group', 'hip pop', 'r&b', 'urban contemporary']",r&b,102,15
3rd Bass,0.099428,0.7996000000000001,272712.6,0.6826000000000001,8.380000000000003e-05,0.1405399999999999,-13.5126,0.2478,124.1922,0.5268,30.0,2,1,10,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",rap,164,2
4 Non Blondes,0.18415,0.5286666666666666,239673.33333333328,0.57,5.1e-07,0.1266333333333333,-10.100499999999998,0.03825,117.87649999999998,0.4461666666666665,48.0,7,1,12,"['new wave pop', 'pop rock']",new wave pop,118,10
42 Dugg,0.2332,0.8775999999999999,175701.0,0.5650000000000001,0.0,0.09664,-5.2062,0.3159999999999999,127.28759999999996,0.4086,71.0,10,0,5,"['detroit trap', 'southern hip hop', 'trap']",trap,109,13
42nd Street Ensemble,0.8240000000000001,0.3429999999999999,349338.0,0.434,0.00236303,0.1705666666666666,-13.260666666666664,0.2211666666666668,111.19233333333334,0.31,17.333333333333332,0,1,6,['broadway'],broadway,82,25
4Minute,0.00589,0.54,192400.0,0.929,4.01e-06,0.424,-2.6460000000000004,0.278,176.023,0.624,61.0,7,1,2,"['k-pop', 'k-pop girl group']",k-pop,57,58
5 Seconds of Summer,0.0598272340425532,0.5467553191489358,197841.24468085103,0.8077553191489362,1.1071702127659573e-05,0.1772702127659574,-4.4014574468085135,0.0832531914893617,137.15309574468077,0.5310000000000002,61.92553191489362,2,1,94,"['boy band', 'dance pop', 'pop', 'post-teen pop']",pop,180,0
50 Cent,0.127395868263473,0.6924850299401202,233712.45508982037,0.761335329341317,0.0005839498802395,0.1918940119760478,-4.1007125748503,0.2641730538922157,105.66044910179636,0.5887005988023949,52.19760479041916,1,1,167,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",pop rap,135,6
504 Boyz,0.0118733333333333,0.8236666666666665,213458.33333333328,0.6523333333333333,0.0,0.2746666666666666,-7.742333333333333,0.2653333333333333,140.03566666666669,0.4596666666666666,43.66666666666666,7,1,6,"['dirty south rap', 'pop rap', 'southern hip hop']",southern hip hop,149,3
6 Dogs,0.2239999999999999,0.748,171907.0,0.66,0.053,0.1009999999999999,-4.704,0.0487,137.033,0.3279999999999999,68.0,6,1,2,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']",underground hip hop,108,14
6LACK,0.3218164705882353,0.6363725490196079,216116.8235294117,0.50921568627451,0.0021259639215686,0.1191803921568628,-8.32435294117647,0.1682235294117647,118.1979803921568,0.3104941176470587,65.11764705882354,0,1,51,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']",rap,164,2
7eventh Time Down,0.00964,0.58,176616.0,0.884,1.5e-06,0.1159999999999999,-4.3580000000000005,0.0381,105.927,0.4639999999999999,54.0,6,1,2,"['ccm', 'christian alternative rock', 'christian hard rock', 'christian music', 'christian rock']",christian music,67,35
88GLAM,0.0166,0.764,180813.0,0.672,1.06e-06,0.103,-4.274,0.0655,150.02100000000004,0.594,74.0,6,0,2,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",trap,109,13
8Ball,0.0689071428571428,0.7885,280319.14285714284,0.6619285714285715,0.0005572821428571,0.2342142857142857,-6.577428571428569,0.1915357142857143,119.92014285714286,0.5388571428571429,41.57142857142857,1,1,14,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",southern hip hop,149,3
8Ball & MJG,0.046216,0.7445999999999998,304293.26666666666,0.6966666666666668,0.0,0.2445733333333333,-6.984466666666664,0.2288933333333333,132.35866666666664,0.5769999999999998,39.93333333333333,11,1,15,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",rap,164,2
