genre,label
pop,0
pop rock,1
rap,2
southern hip hop,3
post-teen pop,4
show tunes,5
pop rap,6
classical performance,7
rock,8
post-grunge,9
new wave pop,10
modern rock,11
country road,12
trap,13
underground hip hop,14
r&b,15
urban contemporary,16
norteno,17
movie tunes,18
quiet storm,19
soul,20
hollywood,21
latin pop,22
soft rock,23
hip hop,24
broadway,25
country rock,26
classical piano,27
lounge,28
roots rock,29
opera,30
mellow gold,31
neo mellow,32
reggaeton,33
christian music,34
background music,35
gospel,36
indie pop,37
sleep,38
orchestra,39
rhythm and blues,40
electro house,41
punk,42
orchestral performance,43
traditional folk,44
grupera,45
rock-and-roll,46
classical soprano,47
country,48
disney,49
indietronica,50
contemporary country,51
motown,52
tropical,53
post-disco,54
reggaeton flow,55
k-pop,56
rock en espanol,57
new wave,58
folk rock,59
smooth jazz,60
stomp and holler,61
environmental,62
indie rock,63
regional mexican pop,64
new americana,65
regional mexican,66
soundtrack,67
hard rock,68
pop punk,69
ranchera,70
bubblegum pop,71
swing,72
otacore,73
nu metal,74
europop,75
texas country,76
tropical house,77
tejano,78
comic,79
psychedelic rock,80
indie soul,81
jazz funk,82
lo-fi beats,83
doo-wop,84
easy listening,85
southern soul,86
roots reggae,87
ska,88
focus,89
disco,90
vintage chanson,91
reggae fusion,92
classic soul,93
indie r&b,94
chanson,95
hardcore hip hop,96
rock steady,97
modern bollywood,98
indie garage rock,99
rebetiko,100
jazz,101
world worship,102
merseybeat,103
soul jazz,104
historic orchestral performance,105
samba,106
country rap,107
jazz saxophone,108
reggae,109
progressive bluegrass,110
hip house,111
latin christian,112
emo rap,113
metal,114
permanent wave,115
funk,116
salsa,117
indian folk,118
pop edm,119
salsa international,120
cali rap,121
chillhop,122
modern alternative rock,123
electropop,124
rockabilly,125
new age,126
latin,127
ska punk,128
hard bop,129
cumbia sonidera,130
screamo,131
hawaiian,132
electric blues,133
filmi,134
new jack swing,135
dance pop,136
classic country pop,137
vapor trap,138
progressive rock,139
social media pop,140
neo soul,141
indie folk,142
classic soundtrack,143
classical bass,144
stride,145
vocal jazz,146
jazz fusion,147
hip pop,148
country dawn,149
viral pop,150
rap rock,151
chamber orchestra,152
corridos tumbados,153
metalcore,154
lilith,155
classical,156
meme rap,157
pub rock,158
alternative r&b,159
west coast rap,160
pop emo,161
new rave,162
classical tenor,163
historic piano performance,164
velha guarda,165
classic mandopop,166
indie poptimism,167
early modern classical,168
torch song,169
skate punk,170
escape room,171
bolero,172
modern country rock,173
old school hip hop,174
uk pop,175
glam rock,176
electronica,177
jawaiian,178
pop romantico,179
space age pop,180
jam band,181
australian pop,182
lo-fi,183
late romantic era,184
red dirt,185
rumba,186
classic italian pop,187
trip hop,188
melancholia,189
post-punk,190
contemporary gospel,191
calypso,192
vintage hollywood,193
scorecore,194
vapor soul,195
neo-classical,196
classic cantopop,197
classic bollywood,198
salsa puertorriquena,199
deep pop r&b,200
merengue,201
piano rock,202
country pop,203
surf music,204
indian classical,205
jazz trio,206
chicano rap,207
mexican rock-and-roll,208
spanish pop,209
turntablism,210
yacht rock,211
latin jazz,212
worship,213
metropopolis,214
post-romantic era,215
poetry,216
freakbeat,217
post-hardcore,218
traditional blues,219
american folk revival,220
shimmer pop,221
big band,222
reggae rock,223
edm,224
post-screamo,225
progressive electro house,226
comedy,227
freestyle,228
mariachi,229
calming instrumental,230
atl hip hop,231
mpb,232
outlaw country,233
old-time,234
vintage italian pop,235
singer-songwriter,236
protopunk,237
west coast trap,238
library music,239
traditional country,240
italian tenor,241
mandopop,242
praise,243
video game music,244
underground rap,245
modern blues,246
mexican pop,247
adult standards,248
redneck,249
jazz guitar,250
banda,251
classic uk pop,252
indiecoustica,253
dancehall,254
bossa nova,255
jazz double bass,256
canzone napoletana,257
operatic pop,258
nashville sound,259
brill building pop,260
sleaze rock,261
classical era,262
folk,263
gaming edm,264
sufi,265
classical mezzo-soprano,266
c-pop,267
sound,268
nyc rap,269
southern rock,270
vintage tango,271
cumbia,272
jazz trumpet,273
classic opm,274
jazz drums,275
classic israeli pop,276
novelty,277
vocal harmony group,278
violin,279
latin hip hop,280
rap metal,281
gangster rap,282
cowboy western,283
mexican rock,284
tin pan alley,285
antiviral pop,286
classic canadian rock,287
rare groove,288
ragtime,289
nu jazz,290
new orleans jazz,291
latin rock,292
bedroom pop,293
la pop,294
electro,295
deep regional mexican,296
g funk,297
french rock,298
eurodance,299
irish folk,300
indie pop rap,301
italian bass,302
northern soul,303
synthpop,304
new romantic,305
jazz piano,306
heartland rock,307
laiko,308
classical cello,309
trap latino,310
meditation,311
korean pop,312
house,313
gruperas inmortales,314
water,315
free jazz,316
freak folk,317
nu gaze,318
classical baritone,319
american modern classical,320
electronic trap,321
hyphy,322
pinoy rock,323
lullaby,324
pixie,325
philly rap,326
modern blues rock,327
exotica,328
vintage italian soundtrack,329
trap soul,330
alternative hip hop,331
acoustic pop,332
la indie,333
power pop,334
neo-psychedelic,335
alternative metal,336
early music,337
chicago rap,338
uk post-punk,339
j-pop,340
album rock,341
opm,342
progressive metal,343
nyc pop,344
florida rap,345
symphonic rock,346
britpop,347
british soul,348
historically informed performance,349
industrial rock,350
deep adult standards,351
haitian traditional,352
classical organ,353
italian pop,354
deep soft rock,355
italian baritone,356
healing,357
sertanejo universitario,358
new french touch,359
country gospel,360
vintage chinese pop,361
native american,362
swedish pop,363
roots americana,364
historic classical performance,365
corrido,366
melodic rap,367
deep underground hip hop,368
australian rock,369
duranguense,370
celtic,371
memphis hip hop,372
future funk,373
jazz rap,374
jazz quartet,375
classical guitar,376
new jersey rap,377
slow core,378
delta blues,379
japanese city pop,380
philly soul,381
white noise,382
indie cafe pop,383
cartoon,384
italian disco,385
ghazal,386
classical flute,387
instrumental bluegrass,388
string quartet,389
uk dance,390
anthem worship,391
classical contralto,392
gothic rock,393
melodic metalcore,394
hardcore punk,395
classic rock,396
vocal house,397
progressive house,398
british blues,399
lovers rock,400
emo,401
uk82,402
power metal,403
spanish new wave,404
glam metal,405
soul flow,406
deep ccm,407
ye ye,408
trance,409
punk blues,410
italian opera,411
sunshine pop,412
bronx hip hop,413
puerto rican pop,414
hi-nrg,415
chamber pop,416
philly indie,417
k-rap,418
folk-pop,419
theme,420
modern funk,421
cabaret,422
southern soul blues,423
compositional ambient,424
vallenato,425
rabindra sangeet,426
conscious hip hop,427
canadian pop,428
industrial metal,429
canadian indie,430
boy band,431
vintage jazz,432
alternative rock,433
norwegian pop,434
atl trap,435
bow pop,436
modern hard rock,437
baroque,438
wrestling,439
deep norteno,440
gymcore,441
oklahoma country,442
fourth world,443
deep christian rock,444
impressionism,445
british modern classical,446
korean r&b,447
classic persian pop,448
russian modern classical,449
deep disco,450
neoclassicism,451
operetta,452
ninja,453
modern southern rock,454
big beat,455
jazz organ,456
italian mezzo-soprano,457
chicago blues,458
italian soprano,459
atmosphere,460
latin worship,461
indie punk,462
contemporary vocal jazz,463
trap queen,464
dirty texas rap,465
neo-synthpop,466
cumbia salvadorena,467
pagode,468
classic praise,469
spanish classical,470
rosary,471
nueva cancion,472
gbvfi,473
world,474
nwobhm,475
early romantic era,476
christian rock,477
tecnobanda,478
psychedelic blues-rock,479
old school dancehall,480
stoner metal,481
rebel blues,482
classic arab pop,483
classic colombian pop,484
jazz vibraphone,485
neo r&b,486
salsa colombiana,487
indie electropop,488
polynesian pop,489
perreo,490
beatlesque,491
new comedy,492
phonk,493
choral,494
vintage classical singing,495
candy pop,496
opera chorus,497
bangla,498
folk punk,499
merengue tipico,500
bedroom soul,501
hardcore techno,502
nu disco,503
bakersfield sound,504
taiwan campus folk,505
indie surf,506
ukulele,507
southern gospel,508
experimental,509
uk hip hop,510
swedish electropop,511
progressive post-hardcore,512
mexican hip hop,513
bass trap,514
ska revival,515
roots worship,516
tango,517
miami bass,518
galante era,519
nc hip hop,520
wonky,521
jazz trombone,522
french soundtrack,523
french jazz,524
mambo,525
deep smooth jazz,526
rock drums,527
supergroup,528
new age piano,529
classical clarinet,530
modern reggae,531
greek clarinet,532
post-rock,533
piano blues,534
swing italiano,535
new orleans rap,536
harmonica blues,537
space rock,538
steel guitar,539
soul blues,540
canadian hip hop,541
british folk,542
soca,543
salsa venezolana,544
blues rock,545
neo classical metal,546
thrash metal,547
melodic hardcore,548
modern folk rock,549
experimental rock,550
boogaloo,551
new orleans blues,552
spirituals,553
queens hip hop,554
deep talent show,555
indie anthem-folk,556
world fusion,557
christian relaxative,558
taiwan pop,559
disco house,560
tamil pop,561
arkansas country,562
diva house,563
light music,564
folktronica,565
